Trade_Time,Price_USD,Volume_BTC,Symbol
2025-09-30 00:12:26.283,114360.1,0.102,BTCUSDT
2025-09-30 00:12:26.283,114360.1,0.012,BTCUSDT
2025-09-30 00:12:26.396,114360.1,0.25,BTCUSDT
2025-09-30 00:12:26.410,114360.0,0.087,BTCUSDT
2025-09-30 00:12:26.534,114360.1,0.001,BTCUSDT
2025-09-30 00:12:26.699,114360.0,0.004,BTCUSDT
2025-09-30 00:12:27.205,114360.0,0.002,BTCUSDT
2025-09-30 00:12:27.255,114360.0,0.005,BTCUSDT
2025-09-30 00:12:27.331,114360.1,0.003,BTCUSDT
2025-09-30 00:12:27.429,114360.0,0.087,BTCUSDT
2025-09-30 00:12:27.598,114360.1,0.02,BTCUSDT
2025-09-30 00:12:27.738,114360.1,0.002,BTCUSDT
2025-09-30 00:12:27.799,114360.1,0.161,BTCUSDT
2025-09-30 00:12:28.047,114360.1,0.004,BTCUSDT
2025-09-30 00:12:28.056,114360.0,0.001,BTCUSDT
2025-09-30 00:12:28.322,114360.0,0.001,BTCUSDT
2025-09-30 00:12:28.474,114360.1,0.009,BTCUSDT
2025-09-30 00:12:28.487,114360.1,0.009,BTCUSDT
2025-09-30 00:12:28.524,114360.0,0.002,BTCUSDT
2025-09-30 00:12:28.524,114360.0,0.002,BTCUSDT
2025-09-30 00:12:28.524,114360.0,0.004,BTCUSDT
2025-09-30 00:12:28.524,114360.0,0.079,BTCUSDT
2025-09-30 00:12:29.189,114360.0,0.1,BTCUSDT
